subscription_id,customer_id,customer_segment,failure_reason,diagnosis,chosen_action,reasoning,allowed_by_rules,rule_override_reason,final_action,simulated_outcome,amount_inr,recovered_amount_inr,discount_cost_inr,timestamp
sub_0011,cust_8668,at_risk,insufficient_funds,[API ERROR] Messages.create() got an unexpected keyword argument 'temperature',smart_retry,Fallback to 'smart_retry' due to API error.,yes,,smart_retry,failed,1999.0,0.0,0.0,2026-08-23T12:55:27.134784
sub_0012,cust_9797,standard,bank_technical_decline,[API ERROR] Messages.create() got an unexpected keyword argument 'temperature',smart_retry,Fallback to 'smart_retry' due to API error.,yes,,smart_retry,recovered,1499.0,1499.0,0.0,2026-08-23T12:55:27.134784
sub_0013,cust_8123,standard,card_expired,[API ERROR] Messages.create() got an unexpected keyword argument 'temperature',send_update_payment_link,Fallback to 'send_update_payment_link' due to API error.,yes,,send_update_payment_link,failed,999.0,0.0,0.0,2026-08-23T12:55:27.134784
sub_0014,cust_9317,standard,bank_technical_decline,[API ERROR] Messages.create() got an unexpected keyword argument 'temperature',smart_retry,Fallback to 'smart_retry' due to API error.,no,Max retries exhausted (2/2). Auto-escalating to human review.,escalate_to_human,pending_human_review,2999.0,0.0,0.0,2026-08-23T12:55:27.134784
sub_0015,cust_9317,standard,card_expired,[API ERROR] Messages.create() got an unexpected keyword argument 'temperature',send_update_payment_link,Fallback to 'send_update_payment_link' due to API error.,yes,,send_update_payment_link,failed,1499.0,0.0,0.0,2026-08-23T12:55:27.134784
sub_0016,cust_1009,standard,card_blocked_by_bank,[API ERROR] Messages.create() got an unexpected keyword argument 'temperature',send_update_payment_link,Fallback to 'send_update_payment_link' due to API error.,yes,,send_update_payment_link,recovered,999.0,999.0,0.0,2026-08-23T12:55:27.134784
sub_0017,cust_6038,standard,insufficient_funds,[API ERROR] Messages.create() got an unexpected keyword argument 'temperature',smart_retry,Fallback to 'smart_retry' due to API error.,yes,,smart_retry,recovered,999.0,999.0,0.0,2026-08-23T12:55:27.134784
sub_0018,cust_9727,high_value,card_expired,[API ERROR] Messages.create() got an unexpected keyword argument 'temperature',send_update_payment_link,Fallback to 'send_update_payment_link' due to API error.,yes,,send_update_payment_link,failed,1499.0,0.0,0.0,2026-08-23T12:55:27.134784
sub_0019,cust_3705,standard,card_blocked_by_bank,[API ERROR] Messages.create() got an unexpected keyword argument 'temperature',send_update_payment_link,Fallback to 'send_update_payment_link' due to API error.,yes,,send_update_payment_link,recovered,499.0,499.0,0.0,2026-08-23T12:55:27.134784
sub_0020,cust_7537,high_value,insufficient_funds,[API ERROR] Messages.create() got an unexpected keyword argument 'temperature',smart_retry,Fallback to 'smart_retry' due to API error.,yes,,smart_retry,failed,4999.0,0.0,0.0,2026-08-23T12:55:27.134784
sub_0021,cust_8397,high_value,card_expired,[API ERROR] Messages.create() got an unexpected keyword argument 'temperature',send_update_payment_link,Fallback to 'send_update_payment_link' due to API error.,yes,,send_update_payment_link,recovered,299.0,299.0,0.0,2026-08-23T12:55:27.134784
sub_0022,cust_1117,high_value,insufficient_funds,[API ERROR] Messages.create() got an unexpected keyword argument 'temperature',smart_retry,Fallback to 'smart_retry' due to API error.,yes,,smart_retry,recovered,199.0,199.0,0.0,2026-08-23T12:55:27.134784
sub_0023,cust_1514,at_risk,fraud_flagged,Payment flagged for potential fraud by the payment gateway.,escalate_to_human,Fraud-flagged transactions must never be retried or contacted. Escalating to human fraud review team per compliance policy.,yes,,escalate_to_human,pending_human_review,299.0,0.0,0.0,2026-08-23T12:55:27.134784
sub_0024,cust_8749,standard,card_expired,[API ERROR] Messages.create() got an unexpected keyword argument 'temperature',send_update_payment_link,Fallback to 'send_update_payment_link' due to API error.,yes,,send_update_payment_link,failed,1499.0,0.0,0.0,2026-08-23T12:55:27.134784
sub_0025,cust_6804,standard,bank_technical_decline,[API ERROR] Messages.create() got an unexpected keyword argument 'temperature',smart_retry,Fallback to 'smart_retry' due to API error.,yes,,smart_retry,failed,999.0,0.0,0.0,2026-08-23T12:55:27.134784
sub_0026,cust_6559,standard,card_expired,[API ERROR] Messages.create() got an unexpected keyword argument 'temperature',send_update_payment_link,Fallback to 'send_update_payment_link' due to API error.,yes,,send_update_payment_link,recovered,1499.0,1499.0,0.0,2026-08-23T12:55:27.134784
sub_0027,cust_8350,standard,insufficient_funds,[API ERROR] Messages.create() got an unexpected keyword argument 'temperature',smart_retry,Fallback to 'smart_retry' due to API error.,yes,,smart_retry,recovered,499.0,499.0,0.0,2026-08-23T12:55:27.134784
sub_0028,cust_2604,at_risk,bank_technical_decline,[API ERROR] Messages.create() got an unexpected keyword argument 'temperature',smart_retry,Fallback to 'smart_retry' due to API error.,no,Max retries exhausted (3/2). Auto-escalating to human review.,escalate_to_human,pending_human_review,199.0,0.0,0.0,2026-08-23T12:55:27.134784
sub_0029,cust_4872,standard,card_expired,[API ERROR] Messages.create() got an unexpected keyword argument 'temperature',send_update_payment_link,Fallback to 'send_update_payment_link' due to API error.,yes,,send_update_payment_link,failed,299.0,0.0,0.0,2026-08-23T12:55:27.134784
sub_0030,cust_1035,high_value,card_blocked_by_bank,[API ERROR] Messages.create() got an unexpected keyword argument 'temperature',send_update_payment_link,Fallback to 'send_update_payment_link' due to API error.,yes,,send_update_payment_link,recovered,4999.0,4999.0,0.0,2026-08-23T12:55:27.134784
sub_0031,cust_8973,high_value,insufficient_funds,[API ERROR] Messages.create() got an unexpected keyword argument 'temperature',smart_retry,Fallback to 'smart_retry' due to API error.,yes,,smart_retry,failed,4999.0,0.0,0.0,2026-08-23T12:55:27.134784
sub_0032,cust_6138,high_value,card_expired,[API ERROR] Messages.create() got an unexpected keyword argument 'temperature',send_update_payment_link,Fallback to 'send_update_payment_link' due to API error.,yes,,send_update_payment_link,failed,199.0,0.0,0.0,2026-08-23T12:55:27.134784
sub_0033,cust_9701,standard,bank_technical_decline,[API ERROR] Messages.create() got an unexpected keyword argument 'temperature',smart_retry,Fallback to 'smart_retry' due to API error.,yes,,smart_retry,recovered,199.0,199.0,0.0,2026-08-23T12:55:27.134784
sub_0034,cust_4853,high_value,card_expired,[API ERROR] Messages.create() got an unexpected keyword argument 'temperature',send_update_payment_link,Fallback to 'send_update_payment_link' due to API error.,yes,,send_update_payment_link,failed,499.0,0.0,0.0,2026-08-23T12:55:27.134784
sub_0035,cust_1651,standard,card_blocked_by_bank,[API ERROR] Messages.create() got an unexpected keyword argument 'temperature',send_update_payment_link,Fallback to 'send_update_payment_link' due to API error.,yes,,send_update_payment_link,failed,999.0,0.0,0.0,2026-08-23T12:55:27.134784
sub_0036,cust_6147,standard,insufficient_funds,[API ERROR] Messages.create() got an unexpected keyword argument 'temperature',smart_retry,Fallback to 'smart_retry' due to API error.,yes,,smart_retry,recovered,299.0,299.0,0.0,2026-08-23T12:55:27.134784
sub_0037,cust_6180,high_value,card_expired,[API ERROR] Messages.create() got an unexpected keyword argument 'temperature',send_update_payment_link,Fallback to 'send_update_payment_link' due to API error.,yes,,send_update_payment_link,failed,199.0,0.0,0.0,2026-08-23T12:55:27.134784
sub_0038,cust_2200,at_risk,bank_technical_decline,[API ERROR] Messages.create() got an unexpected keyword argument 'temperature',smart_retry,Fallback to 'smart_retry' due to API error.,no,Max retries exhausted (3/2). Auto-escalating to human review.,escalate_to_human,pending_human_review,499.0,0.0,0.0,2026-08-23T12:55:27.134784
sub_0039,cust_2127,high_value,card_expired,[API ERROR] Messages.create() got an unexpected keyword argument 'temperature',send_update_payment_link,Fallback to 'send_update_payment_link' due to API error.,yes,,send_update_payment_link,recovered,299.0,299.0,0.0,2026-08-23T12:55:27.134784
sub_0040,cust_9666,standard,card_blocked_by_bank,[API ERROR] Messages.create() got an unexpected keyword argument 'temperature',send_update_payment_link,Fallback to 'send_update_payment_link' due to API error.,yes,,send_update_payment_link,failed,199.0,0.0,0.0,2026-08-23T12:55:27.134784
sub_0041,cust_2697,high_value,insufficient_funds,[API ERROR] Messages.create() got an unexpected keyword argument 'temperature',smart_retry,Fallback to 'smart_retry' due to API error.,yes,,smart_retry,failed,199.0,0.0,0.0,2026-08-23T12:55:27.134784
sub_0042,cust_5616,standard,bank_technical_decline,[API ERROR] Messages.create() got an unexpected keyword argument 'temperature',smart_retry,Fallback to 'smart_retry' due to API error.,yes,,smart_retry,failed,999.0,0.0,0.0,2026-08-23T12:55:27.134784
sub_0043,cust_5325,at_risk,fraud_flagged,Payment flagged for potential fraud by the payment gateway.,escalate_to_human,Fraud-flagged transactions must never be retried or contacted. Escalating to human fraud review team per compliance policy.,yes,,escalate_to_human,pending_human_review,1999.0,0.0,0.0,2026-08-23T12:55:27.134784
sub_0044,cust_1058,standard,insufficient_funds,[API ERROR] Messages.create() got an unexpected keyword argument 'temperature',smart_retry,Fallback to 'smart_retry' due to API error.,yes,,smart_retry,recovered,299.0,299.0,0.0,2026-08-23T12:55:27.134784
sub_0045,cust_8239,standard,card_expired,[API ERROR] Messages.create() got an unexpected keyword argument 'temperature',send_update_payment_link,Fallback to 'send_update_payment_link' due to API error.,yes,,send_update_payment_link,failed,199.0,0.0,0.0,2026-08-23T12:55:27.134784
sub_0046,cust_3442,standard,bank_technical_decline,[API ERROR] Messages.create() got an unexpected keyword argument 'temperature',smart_retry,Fallback to 'smart_retry' due to API error.,yes,,smart_retry,failed,499.0,0.0,0.0,2026-08-23T12:55:27.134784
sub_0047,cust_8041,at_risk,insufficient_funds,[API ERROR] Messages.create() got an unexpected keyword argument 'temperature',smart_retry,Fallback to 'smart_retry' due to API error.,yes,,smart_retry,failed,1999.0,0.0,0.0,2026-08-23T12:55:27.134784
sub_0048,cust_4441,high_value,card_expired,[API ERROR] Messages.create() got an unexpected keyword argument 'temperature',send_update_payment_link,Fallback to 'send_update_payment_link' due to API error.,yes,,send_update_payment_link,failed,999.0,0.0,0.0,2026-08-23T12:55:27.134784
sub_0049,cust_7658,standard,card_blocked_by_bank,[API ERROR] Messages.create() got an unexpected keyword argument 'temperature',send_update_payment_link,Fallback to 'send_update_payment_link' due to API error.,yes,,send_update_payment_link,failed,2999.0,0.0,0.0,2026-08-23T12:55:27.134784
sub_0050,cust_3900,standard,bank_technical_decline,[API ERROR] Messages.create() got an unexpected keyword argument 'temperature',smart_retry,Fallback to 'smart_retry' due to API error.,no,Max retries exhausted (3/2). Auto-escalating to human review.,escalate_to_human,pending_human_review,1999.0,0.0,0.0,2026-08-23T12:55:27.134784
sub_0051,cust_7745,standard,insufficient_funds,[API ERROR] Messages.create() got an unexpected keyword argument 'temperature',smart_retry,Fallback to 'smart_retry' due to API error.,yes,,smart_retry,failed,1499.0,0.0,0.0,2026-08-23T12:55:27.134784
sub_0052,cust_1634,at_risk,card_blocked_by_bank,[API ERROR] Messages.create() got an unexpected keyword argument 'temperature',send_update_payment_link,Fallback to 'send_update_payment_link' due to API error.,yes,,send_update_payment_link,failed,1999.0,0.0,0.0,2026-08-23T12:55:27.134784
sub_0053,cust_4728,standard,insufficient_funds,[API ERROR] Messages.create() got an unexpected keyword argument 'temperature',smart_retry,Fallback to 'smart_retry' due to API error.,no,Max retries exhausted (3/3). Auto-escalating to human review.,escalate_to_human,pending_human_review,499.0,0.0,0.0,2026-08-23T12:55:27.134784
sub_0054,cust_5573,high_value,insufficient_funds,[API ERROR] Messages.create() got an unexpected keyword argument 'temperature',smart_retry,Fallback to 'smart_retry' due to API error.,yes,,smart_retry,failed,499.0,0.0,0.0,2026-08-23T12:55:27.134784
sub_0055,cust_1452,high_value,insufficient_funds,[API ERROR] Messages.create() got an unexpected keyword argument 'temperature',smart_retry,Fallback to 'smart_retry' due to API error.,yes,,smart_retry,failed,299.0,0.0,0.0,2026-08-23T12:55:27.134784
sub_0056,cust_8119,high_value,insufficient_funds,[API ERROR] Messages.create() got an unexpected keyword argument 'temperature',smart_retry,Fallback to 'smart_retry' due to API error.,yes,,smart_retry,recovered,299.0,299.0,0.0,2026-08-23T12:55:27.134784
sub_0057,cust_9379,high_value,bank_technical_decline,[API ERROR] Messages.create() got an unexpected keyword argument 'temperature',smart_retry,Fallback to 'smart_retry' due to API error.,yes,,smart_retry,recovered,299.0,299.0,0.0,2026-08-23T12:55:27.134784
sub_0058,cust_9821,standard,insufficient_funds,[API ERROR] Messages.create() got an unexpected keyword argument 'temperature',smart_retry,Fallback to 'smart_retry' due to API error.,yes,,smart_retry,failed,999.0,0.0,0.0,2026-08-23T12:55:27.134784
sub_0059,cust_2146,standard,insufficient_funds,[API ERROR] Messages.create() got an unexpected keyword argument 'temperature',smart_retry,Fallback to 'smart_retry' due to API error.,yes,,smart_retry,recovered,999.0,999.0,0.0,2026-08-23T12:55:27.134784
sub_0060,cust_5920,standard,bank_technical_decline,[API ERROR] Messages.create() got an unexpected keyword argument 'temperature',smart_retry,Fallback to 'smart_retry' due to API error.,yes,,smart_retry,failed,499.0,0.0,0.0,2026-08-23T12:55:27.134784
